title,authors,format,year
"Real-World Spanish: The Conversation Learning System
Real-World Spanish: The Conversation Learning System, eAudiobook",Camila Vega Rivera,,
"Learning Spanish-beginner I
Learning Spanish-beginner I, eBook","Iris Acevedo A. • Spanishonline, Costarica",,
"100 Facts About Learning Spanish
100 Facts About Learning Spanish, eAudiobook",Science-Based Language Learning Lab,,
"No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners
No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners, eBook","Bennett, Olivia",,
"A Beginner's Guide to Learning Spanish
A Beginner's Guide to Learning Spanish, eAudiobook","Miller, Jackson",,
"100 Facts About Learning Spanish
100 Facts About Learning Spanish, eBook
English to Spanish",Science-Based Language Learning Lab,,
"Language Learning: French in Argentina and Spanish in France
Language Learning: French in Argentina and Spanish in France, eBook","Tobares, Maia",,
"Learning Spanish for Adults Beginner
Learning Spanish for Adults Beginner, eBook","World, Spain",,
"Learning to Read in English and Spanish Made Easy
Learning to Read in English and Spanish Made Easy, eBook
A Guide for Teachers, Tutors, and Parents","Navarijo, Susie G.",,
"Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &
Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &, eBook","Michaels, Steven J.",,
"Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas
Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas, eBook",Learn Like a Native,,
"Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas
Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas, eBook",Learn Like a Native,,
"Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast
Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast, eBook",Language Equipped Travelers,,
"I'm Learning Spanish
I'm Learning Spanish, eAudiobook
Listen, Repeat, Speak language learning course","Gardner, James M.",,
"I am learning Spanish
I am learning Spanish, eAudiobook","Gardner, James M.",,
"The Best Spanish Learning Games for Children
The Best Spanish Learning Games for Children, eBook","Professor, Baby",,
"Easy Learning Spanish Vocabulary
Easy Learning Spanish Vocabulary, eBook","Dictionaries, Collins",,
"Spanish Easy Learning Complete Course
Spanish Easy Learning Complete Course, eAudiobook
Language Learning the easy way with Collins","Carmen García del Río • Fitzsimons, Ronan",,
"Learning the Local Language: Your Guide to Real World Spanish
Learning the Local Language: Your Guide to Real World Spanish, eBook","Romey, Jared",,
"Expressing Emotion with the Subjunctive
Expressing Emotion with the Subjunctive, Streaming Video
Learning Spanish II: How to Understand and Speak a New Language, Episode 29",,,
