title,href
A01 Broken Access Control,https://owasp.org/Top10/2025/A01_2025-Broken_Access_Control/
A02 Security Misconfiguration,https://owasp.org/Top10/2025/A02_2025-Security_Misconfiguration/
A03 Software Supply Chain Failures,https://owasp.org/Top10/2025/A03_2025-Software_Supply_Chain_Failures/
A04 Cryptographic Failures,https://owasp.org/Top10/2025/A04_2025-Cryptographic_Failures/
A05 Injection,https://owasp.org/Top10/2025/A05_2025-Injection/
A06 Insecure Design,https://owasp.org/Top10/2025/A06_2025-Insecure_Design/
A07 Authentication Failures,https://owasp.org/Top10/2025/A07_2025-Authentication_Failures/
A08 Software or Data Integrity Failures,https://owasp.org/Top10/2025/A08_2025-Software_or_Data_Integrity_Failures/
A09 Security Logging and Alerting Failures,https://owasp.org/Top10/2025/A09_2025-Security_Logging_and_Alerting_Failures/
A10 Mishandling of Exceptional Conditions,https://owasp.org/Top10/2025/A10_2025-Mishandling_of_Exceptional_Conditions/
